Batch,Accession,Variety,SampleEvents,Sample_PImean,RiceEvents,Rice_Pimean,GenomeSize.mgb,GenomeSize.pg
171213,TX_0481,Wild,4509,87008,3603,16393,2361.842855,4.829944489
171213,TX_0481,Wild,6040,87774,1924,16652,2345.577244,4.79668148
171228,TX_0481,Wild,4811,82199,3194,15264,2395.855287,4.900490697
171228,TX_0481,Wild,4353,82039,3571,15289,2387.281778,4.882954412
171228,TX_0481,Wild,4405,82111,3433,15149,2411.45844,4.932405439
171228,TX_0481,Wild,3917,81621,4345,15229,2384.475862,4.877215182
171213,TX_0663,Wild,2542,85114,1761,15682,2415.181664,4.939021808
171213,TX_0663,Wild,3525,84953,4155,15719,2404.938957,4.918075577
171213,TX_0663,Wild,2050,85804,2176,15946,2394.451396,4.896628622
171213,TX_0663,Wild,3632,84706,3156,15557,2422.917204,4.954840908
171228,TX_0663,Wild,125,80002,7846,14789,2406.71376,4.922700656
171228,TX_0663,Wild,1410,83203,6135,15092,2452.757401,5.016878479
171228,TX_0663,Wild,5203,90273,2893,15083,2662.763223,5.446425114
171228,TX_0663,Wild,38,90386,4652,15032,2675.141791,5.471744279
171213,TX_0665,Wild,3725,84414,2735,15556,2414.720099,4.938077912
171213,TX_0665,Wild,4856,84041,2934,15571,2401.734287,4.91152206
171213,TX_0665,Wild,4091,84714,1498,15507,2430.959106,4.971286516
171213,TX_0665,Wild,6548,87429,1702,15755,2469.376751,5.049850206
171228,TX_0665,Wild,4854,83695,2874,15561,2392.899267,4.894444444
171228,TX_0665,Wild,5125,83414,2749,15747,2356.69579,4.820393726
171228,TX_0665,Wild,5292,84874,2442,15734,2399.92644,4.908817847
171228,TX_0665,Wild,5588,81796,2458,15109,2408.567106,4.926491495
171213,TX_0704,Wild,6020,87361,1423,15822,2457.007419,5.02455505
171213,TX_0704,Wild,5100,84381,3042,15811,2374.846701,4.856537221
171213,TX_0704,Wild,5570,86830,1841,15658,2467.65115,5.046321369
171213,TX_0704,Wild,5851,83311,2540,15602,2376.141641,4.859185361
171228,TX_0704,Wild,5100,84989,2573,15833,2388.151715,4.884733784
171228,TX_0704,Wild,4524,82041,3191,15210,2399.739704,4.908435897
171228,TX_0704,Wild,5384,82822,1375,15460,2383.409301,4.875033635
171228,TX_0704,Wild,4042,83413,2491,15462,2400.106306,4.909185746
171229,TX_0786,Wild,4987,91591,2478,17418,2339.466982,4.785153864
171229,TX_0786,Wild,5869,83008,2292,16076,2297.229361,4.698760886
171229,TX_0786,Wild,5013,82992,2975,15800,2336.907646,4.779918987
171229,TX_0786,Wild,5207,83995,2820,16126,2317.33694,4.739888999
180103,TX_0786,Wild,6146,83423,1613,15816,2346.66747,4.799881765
180103,TX_0786,Wild,6632,85061,1636,16109,2349.223347,4.805109566
180103,TX_0786,Wild,5912,83617,1597,15764,2359.883488,4.826913854
180103,TX_0786,Wild,4974,86060,2695,16058,2384.362561,4.876983435
171229,TX_0959,Wild,1432,84866,6381,15250,2475.861207,5.064135082
171229,TX_0959,Wild,5106,90194,3195,15303,2622.185885,5.363428086
171229,TX_0959,Wild,4270,88471,3493,15451,2547.456339,5.210576014
171229,TX_0959,Wild,1764,84610,4217,15526,2424.51301,4.959107304
180103,TX_0959,Wild,5178,85971,2572,17001,2249.779301,4.60170637
180103,TX_0959,Wild,5513,84755,2300,16915,2229.234378,4.559683713
180103,TX_0959,Wild,5115,85914,2754,17379,2199.386535,4.498632833
180103,TX_0959,Wild,6134,85005,2243,16334,2315.337609,4.735799559
171229,TX_0967,Wild,5037,83966,3342,15934,2344.450446,4.795347057
171229,TX_0967,Wild,4915,83192,3109,15739,2351.618324,4.81000826
171229,TX_0967,Wild,4726,86716,3208,17390,2218.513422,4.537755032
171229,TX_0967,Wild,4753,83679,3290,16226,2294.390922,4.692955134
180103,TX_0967,Wild,4690,97894,2948,16386,2657.942182,5.43656414
180103,TX_0967,Wild,3055,99604,4975,16716,2650.982268,5.422328308
180103,TX_0967,Wild,4240,89017,4029,16148,2452.542934,5.016439807
180103,TX_0967,Wild,1818,95941,6029,15986,2670.095765,5.46142312
171229,TX_1009,Wild,4618,84574,3582,15936,2361.130309,4.829464106
171229,TX_1009,Wild,4358,82124,4236,15426,2368.531544,4.844602619
171229,TX_1009,Wild,4569,85127,3001,16510,2293.943204,4.69203937
171229,TX_1009,Wild,3648,86469,4115,16019,2401.526818,4.912091267
180103,TX_1009,Wild,5667,86509,1978,16794,2291.762183,4.687578302
180103,TX_1009,Wild,4851,86836,3091,17095,2259.920234,4.622448669
180103,TX_1009,Wild,4805,87313,2823,16861,2303.870097,4.71234387
180103,TX_1009,Wild,4969,87395,2618,16950,2293.925398,4.69200295
171229,TX_1037,Wild,2768,82662,5661,15798,2327.910103,4.761515382
171229,TX_1037,Wild,3153,84482,4640,16444,2285.699453,4.675177572
171229,TX_1037,Wild,3053,84798,5147,16139,2337.606432,4.781348287
180103,TX_1037,Wild,4098,86087,3938,16606,2306.40168,4.71752198
180103,TX_1037,Wild,4890,85616,3033,16120,2362.937866,4.83316129
180103,TX_1037,Wild,2724,86154,987,16194,2366.920748,4.841307892
180103,TX_1037,Wild,3461,87019,3864,16643,2326.188373,4.757993751
180103,TX_1037,Wild,3493,86347,4503,16621,2311.279724,4.727499549
171229,TX_1046,Wild,4486,85289,3527,16449,2306.831789,4.718401727
171229,TX_1046,Wild,3481,85431,4606,16402,2317.293739,4.739800634
171229,TX_1046,Wild,5130,85716,2811,16655,2289.705698,4.68337196
171229,TX_1046,Wild,4471,85046,3378,16340,2315.603758,4.736343941
180103,TX_1046,Wild,4006,87440,3206,17378,2238.580734,4.578800783
180103,TX_1046,Wild,4720,89669,2834,17295,2306.663088,4.718056664
180103,TX_1046,Wild,5160,87599,2683,17104,2278.577824,4.660610968
180103,TX_1046,Wild,4557,88028,2802,17282,2266.153061,4.635197315
180111,TX_1055,Wild,5065,82091,4030,15582,2343.876646,4.794173405
180111,TX_1055,Wild,5287,82112,3674,15870,2301.929981,4.708375551
180111,TX_1055,Wild,5226,81898,3473,15650,2328.205764,4.762120128
180111,TX_1055,Wild,5484,81758,3301,15887,2289.553358,4.683060364
180109,TX_1055,Wild,3514,83217,3720,15846,2336.44095,4.778964407
180109,TX_1055,Wild,5470,83353,2027,15573,2381.284897,4.870688371
180109,TX_1055,Wild,6358,81668,956,15215,2388.044246,4.884513966
180109,TX_1055,Wild,5227,84134,2274,15980,2342.379011,4.791110138
180111,TX_1102,Wild,5643,85940,2294,16537,2312.070267,4.729116527
180111,TX_1102,Wild,7007,87127,1641,17484,2217.044286,4.534750057
180111,TX_1102,Wild,6563,91154,977,18465,2196.285654,4.492290279
180111,TX_1102,Wild,6863,86490,1681,17080,2252.89233,4.60807377
180109,TX_1102,Wild,6411,83735,771,15391,2420.486096,4.950870639
180109,TX_1102,Wild,5023,83565,2140,15493,2399.668786,4.908290841
180109,TX_1102,Wild,6081,84579,1446,15397,2443.930447,4.998823797
180109,TX_1102,Wild,5919,88306,1347,16476,2384.519264,4.877303957
180111,TX_1110,Wild,5567,84686,2888,16680,2258.801043,4.620159472
180111,TX_1110,Wild,5091,85144,3431,16849,2248.23821,4.598554217
180111,TX_1110,Wild,4694,87407,3500,17054,2280.249461,4.66403014
180111,TX_1110,Wild,5933,84686,3700,15742,2393.393559,4.895455469
180109,TX_1110,Wild,4743,83927,2790,15967,2338.518338,4.783213503
180109,TX_1110,Wild,6244,83668,1320,15744,2364.322485,4.835993394
180109,TX_1110,Wild,3471,82742,1400,15814,2327.805476,4.761301379
180109,TX_1110,Wild,3757,82095,1004,15478,2359.740632,4.826621657
180111,TX_1113,Wild,5141,82067,3265,15868,2300.958426,4.706388329
180111,TX_1113,Wild,6127,84247,2612,15977,2345.965469,4.798445891
180111,TX_1113,Wild,6078,83111,2616,15665,2360.426677,4.828024896
180111,TX_1113,Wild,5426,84533,3406,16280,2310.118655,4.725124693
180109,TX_1113,Wild,3199,92958,1223,15456,2675.790256,5.473070652
180109,TX_1113,Wild,3712,98907,1158,15714,2800.287915,5.727718595
180109,TX_1113,Wild,4552,100577,1493,16092,2780.680295,5.6876131
